ASN,name,domains
AS59525,AS59525 Siberian generating company Limited liability company,11
AS54619,AS54619 GROUP HEALTH COOPERATIVE OF SOUTH CENTRAL WISCONSIN,11
AS40861,AS40861 Paradise Networks LLC,11
AS8104,AS8104 Pentagon Federal Credit Union,11
AS8444,AS8444 Henderson Administration Limited,11
AS44383,AS44383 KP CIC Kharkov,11
AS204272,AS204272 ASARTA LLC,11
AS34077,AS34077 Aikotech LTD,11
AS200602,AS200602 GBN.PL Sp. z o.o.,11
AS53088,AS53088 FORNET COMUNICACOES LTDA,11
AS35450,AS35450 Dainet Telecom SRL,11
AS29187,AS29187 TOV ORTA Polesye,11
AS198128,AS198128 Connecting Project s.r.l.,11
AS393900,"AS393900 In-Q-Tel, Inc. ",11
AS54577,"AS54577 NextGen Healthcare Information Systems, LLC. ",11
AS41366,AS41366 KOMAX OOD,11
AS36390,AS36390 Cuyahoga Community College,11
AS32278,AS32278 Getwireless.net,11
AS31720,AS31720 CJSC EngiNet,11
AS131342,AS131342 Vietnam Technological and Commercial Joint-stock Bank - Techcombank,11
AS200594,AS200594 SOFT PARTNER SZCZYPIORSKI SPOLKA JAWNA,11
AS27298,AS27298 REACH4 Communications,11
AS49027,AS49027 Turkiye Sinai Kalkinma Bankasi Anonim Sirketi,11
AS133272,AS133272 Sphier Infotech Private Limited,11
AS136130,AS136130 Pemerintah Kabupaten Tegal,11
AS202742,AS202742 NAYS TRADE EOOD,11
AS48172,AS48172 Inter Telecom O.E.,11
AS61920,AS61920 Link Explorer,11
AS57894,AS57894 FOP Leonova Yliya Olexandrivna,11
AS31915,AS31915 Mojo Broadband,11
AS205877,AS205877 TURUNCUNET ILETISIM SAN. TIC. LTD. STI.,11
AS138329,AS138329 Kenstar Web Solutions Private Limited,11
AS205968,AS205968 GeneralNet s.r.o.,11
AS395289,AS395289 Kentucky Farm Bureau Mutual Insurance,11
AS39204,AS39204 Axima AB,11
AS53988,AS53988 Digi Desert LLC,11
AS35597,AS35597 IQUEST TECHNOLOGIES SRL,11
AS30031,AS30031 Mimecast North America Inc,11
AS131628,"AS131628 Tai-Fu Cloud Co., Ltd. ",11
AS49979,AS49979 LA Wireless Srl,11
AS196628,AS196628 EUROLINK CONNECT LIMITED,11
AS63389,AS63389 Rader Solutions,11
AS263738,AS263738 GRUPO EL COMERCIO,11
AS20405,"AS20405 Eplica, Inc. ",11
AS27697,AS27697 NITNET INFORMATICA S/C LTDA.,11
AS41329,AS41329 SkyMobile LTD,11
AS19919,"AS19919 VA SkyWire, LLC ",11
AS263616,AS263616 Dez Solucoes em Telecomunicacoes LTDA,11
AS26462,AS26462 SUNY Geneseo Computer Center,11
AS15923,AS15923 Logos S.P.A.,11
AS42410,AS42410 Point To Point Ltd.,11
AS200167,AS200167 Reprotechnik Kloten AG,11
AS32845,"AS32845 Tel-Star Communications, Inc ",11
AS63508,AS63508 PT DINAMIKA MEDIAKOM,11
AS267363,AS267363 LINK TELECOMUNICAÇÕES LTDA,11
AS25640,AS25640 Hawaii Department of Education,11
AS7733,AS7733 Frazier Mountain Internet Service,11
AS58682,AS58682 Level3 Carrier Ltd.,11
AS197503,AS197503 Sptelek Sp. z o.o.,11
AS29110,AS29110 Institut Pasteur,11
AS44457,AS44457 Lovenskiold Handel AS,11
AS49171,AS49171 Hypermedia SRL,11
AS9462,AS9462 BOLEHNET-ASN,11
AS42930,AS42930 Modem Ltd.,11
AS265819,AS265819 Ricardo Julio Goncalves,11
AS264759,AS264759 PERGAMINO CELP INFRACOM S.A.,11
AS43001,AS43001 ZAO Domodedodvo International Airport,11
AS397554,AS397554 Happy Cycling LLC,11
AS35416,AS35416 CROATIA AIRLINES D.D.,11
AS395475,AS395475 SnowCloud Services LLC,11
AS208929,AS208929 NT Neue Technologie AG,11
AS327737,AS327737 Custom Solutions Business Trust,11
AS203769,AS203769 Cooperatie KIEN u.a.,11
AS16331,AS16331 Tele-entre Oy,11
AS23584,"AS23584 PUSAN CABLE TV SYSTEM CO., LTD. ",11
AS17181,AS17181 The Calgary Airport Authority,11
AS20698,AS20698 LLC Avtodor-Telecom,11
AS167,AS167 Wesleyan University,11
AS138218,AS138218 ABOITIZ EQUITY VENTURES INC.,11
AS23988,AS23988 PLDT GLOBAL Corp. Internet-based Services AP,11
AS265758,AS265758 COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA,11
AS29144,AS29144 Borsa Istanbul A.S.,11
AS206301,AS206301 LLC IT Expert,11
AS17300,AS17300 ISM Canada,11
AS38730,AS38730 VIETINBANK-VN,11
AS14498,"AS14498 Dynetics, Inc. ",11
AS49178,AS49178 Nadunet Telecom S.L,11
AS210313,AS210313 Ulpleys Ltd.,11
AS61924,AS61924 3E TELECOM,11
AS63188,"AS63188 Internet Colorado, LLC ",11
AS49251,AS49251 Ulricehamns Energi AB,11
AS19720,AS19720 Cablevision Systems Corp.,11
AS35795,AS35795 Vedekon Ltd,11
AS57314,AS57314 GLAVKOM LTD,11
AS45221,AS45221 Bank of The Philippine Islands,11
AS199493,AS199493 Krajnalic Komunikacije d.o.o.,11
AS27923,"AS27923 COMPAÑIA DE TELEVISION VIA SATELITE, S.A. (TEVISAT S.A.) ",11
AS137888,"AS137888 Bee Connect Myanmar Co., Ltd. ",11
AS36466,"AS36466 Cohere Communications, LLC ",11
AS23495,"AS23495 Hewlett-Packard Mexico, S. de R.L. de C.V. ",11
AS44452,AS44452 netIQ s.r.o.,11
AS52384,AS52384 COMPEL COMPUTACION ELECTRONICA S.R.L.,11
AS40360,AS40360 PANERA BREAD COMPANY,11
AS133729,AS133729 Equinox Limited,11
AS49870,AS49870 Alsycon B.V.,11
AS57711,AS57711 NetLine Ltd.,11
AS56634,AS56634 Fly-Tech Ltd.,11
AS201547,AS201547 National Library of Latvia,11
AS395164,AS395164 Northern Light Single Point LLC,11
AS4980,AS4980 Whole Sale,11
AS46290,AS46290 MtSAC,11
AS54258,AS54258 BMC Group Inc.,11
AS202936,AS202936 SATPOL sp. z o.o.,11
AS35793,AS35793 Acronis International GmbH,11
AS46054,AS46054 PT Wahana Lintas Nusa Persada,11
AS51739,AS51739 Is Yatirim Menkul Degerler A.S.,11
AS262866,AS262866 TURBO 10 Telecomunicações Ltda.,11
AS206765,AS206765 ByteSource Technology Consulting GmbH,11
AS262257,AS262257 Banco Bolivariano C.A.,11
AS17005,AS17005 National Football League,11
AS203195,AS203195 DT-Link Oy,11
AS57889,AS57889 MAXSERWIS Sp.zo.o.,11
AS47851,AS47851 Industrial Financial company Ltd.,11
AS23002,AS23002 Telmex do Brasil Ltda.,11
AS59105,AS59105 Home NOC Operators Group,11
AS262301,AS262301 NETMIG TELECOM EIRELI,11
AS60018,AS60018 MAXIA SP. Z O.O.,11
AS206910,"AS206910 Janusz Ciurus trading as P.H.U Bestconnect, P.H.U Megakabel ",11
AS20419,AS20419 DMR Communications Inc.,11
AS42226,AS42226 Complex Telecommunications Ltd,11
AS4470,AS4470 Citenet Telecom Inc.,11
AS60043,AS60043 JSC ER-Telecom Holding,11
AS35948,AS35948 LSI-SBC-IDC-CA,11
AS30598,AS30598 Carnival Corporation,11
AS33114,"AS33114 Cu Cooperative Systems, Inc. ",11
AS34416,AS34416 Full Duplex SRL,11
AS11171,"AS11171 Autonation, Inc ",11
AS49916,AS49916 Toyota Motor Ltd,11
AS60929,AS60929 Investment and technology group of companies limited,11
AS17150,AS17150 America First Credit Union,11
AS60273,AS60273 ALTANETICA S.L.,11
AS42176,AS42176 Goldbet S.P.A.,11
AS198056,AS198056 TeleOka Kom Ltd.,11
AS206265,AS206265 ELECTRONICA DE SO I TELECOMUNICACIONS TECNO-SO SL,11
AS202019,AS202019 Numergy SAS,11
AS133546,AS133546 Bell Potter Securities Ltd,11
AS41024,AS41024 LLC Megacom-IT,11
AS34529,AS34529 GLOBAL NETWORK TECHNOLOGY SRL,11
AS209375,AS209375 Euroweb SRL,11
AS35701,AS35701 Bart Champagne,11
AS262201,AS262201 BANCO HIPOTECARIO SOCIEDAD ANONIMA,11
AS395490,AS395490 County of Lake,11
AS24685,AS24685 Wnet Ukraine LLC,11
AS35122,AS35122 Satnet LTD,11
AS20103,AS20103 Valmont Industries,11
AS42534,AS42534 Comper Telecom LLC,11
AS134634,AS134634 Sekretariat Daerah Kota Salatiga,11
AS11370,AS11370 Uneed Solutions Inc.,11
AS46613,AS46613 COLLETTE VACATIONS,11
AS134431,AS134431 News and Entertainment Network Corp,11
AS64271,AS64271 rixCloud,11
AS23176,"AS23176 Basic Research, LLC ",11
AS64490,AS64490 Montsibovich Andriy Romanovich,11
AS26429,AS26429 Sierra Pacific Industries,11
AS263726,AS263726 Red Uno SRL,11
AS39489,AS39489 Stowarzyszenie Milosnikow Internetu INDS,11
AS53076,AS53076 INTERPIRA INTERNET SERVICE PROVIDER LTDA,11
AS7950,AS7950 Holland College,11
AS22869,AS22869 CABLECOLOR S.A.,11
AS28257,AS28257 CONCEITOS NET SERVICOS DE COMUNICACAO E MULTIMIDIA,11
AS263016,AS263016 NDX Net Serviços de Informatica Ltda.,11
AS57093,AS57093 Yalta-TV KOM Ltd.,11
AS197638,AS197638 SANOFI AVENTIS,11
AS30303,"AS30303 Ooma, Inc. ",11
AS20938,AS20938 Stowarzyszenie Telewizji Kablowej 'Ret-Sat 1',11
AS34802,"AS34802 Commercial Bank ""Renaissance Credit"" LLC ",11
AS59866,AS59866 AKD d.o.o.,11
AS39883,AS39883 Toyota Bank Polska S.A.,11
AS32280,AS32280 The E.W. Scripps Company,11
AS30673,"AS30673 nThrive, Inc. ",11
AS202279,"AS202279 KOMTEL, State Enterprise ",11
AS36912,AS36912 Orange Cameroun SA,11
AS28371,AS28371 Gobierno del Estado de Guanajuato,11
AS24206,AS24206 PT Cakra Lintas Nusantara,11
AS48422,AS48422 IT-STARCOM LLC,11
AS133136,AS133136 MyRepublic Ltd.,11
AS28734,AS28734 Aton LLC,11
AS50172,AS50172 Regie Autonome Des Transports Parisiens,11
AS12137,"AS12137 LightHouse Business Information Solutions, LLC ",11
AS263327,AS263327 ONLINE SERVICOS DE TELECOMUNICACOES LTDA,11
AS26986,AS26986 ESI Canada,11
AS14554,AS14554 FirstHop,11
AS41590,AS41590 u-blox AG,11
AS22110,AS22110 Ligtel Communications,11
AS28239,AS28239 IWserver Internet Banda Larga Ltda.,11
AS27545,AS27545 City National Bank,11
AS30638,AS30638 Hamilton Public Library,11
AS47765,AS47765 Danmarks Statistik,11
AS394015,AS394015 Mikmaw Kinamatnewey,11
AS49326,AS49326 ZAO Agency PACTUR,11
AS50222,"AS50222 Federal Government Cultural Organization ""State Academic Mariinsky Theatre"" ",11
AS42614,AS42614 RadioNet SRL,11
AS132708,AS132708 VNG Singapore PTE. LTD.,11
AS63732,AS63732 FIM PLUS DIGITAL JOINT STOCK COMPANY,11
AS36938,AS36938 Nigeria Internet Registration Association,11
AS25605,AS25605 SCANSAFE SERVICES LLC,11
AS134877,AS134877 Sri Vari Network Private Limited,11
AS199623,AS199623 OOO RelCom,11
AS134306,AS134306 Mothersonsumi INfotech and Designs Ltd.,11
AS19708,AS19708 SLEHS,11
AS37133,AS37133 Airtel Tanzania,11
AS133648,AS133648 MNR Broadband Services Pvt. Ltd.,11
AS138864,AS138864 UNIVERSITAS MUHAMMADIYAH KUDUS,11
AS46986,AS46986 Ritter Communications,11
AS132927,AS132927 Oistel Telecom Private Limited,11
AS29505,AS29505 Stadtwerke Luebeck GmbH,11
AS393274,"AS393274 Darigold, Inc. ",11
AS52213,AS52213 LLC DONETSK FIBER-OPTICAL NETWORK,11
AS10564,AS10564 ROCKET SOFTWARE INC,11
AS35738,AS35738 Kvant ltd.,11
AS52856,AS52856 NETWAY PROVEDOR DE INTERNET LTDA,11
AS60705,AS60705 ABI Elzbieta Gorecka,11
AS209822,AS209822 BKW Energie AG,11
AS3525,AS3525 Albertson's Inc.,11
AS397932,AS397932 New York State Assembly,11
AS63493,AS63493 PT Norlec Telekomunikasi Indonesia,11
AS395864,"AS395864 Wedbush Securities, Inc. ",11
AS15807,AS15807 WebLink Servizi Telematici,11
AS18532,AS18532 Secretaria de Hacienda y Credito Publico,11
AS43752,"AS43752 Ministry for Scientific and Technological Development, Higher Education and Information Society of the Republic of Srpska ",11
AS20466,AS20466 WGBH Educational Foundation,11
AS12283,AS12283 First Technology Services,11
AS200706,"AS200706 AXIANSEU - DIGITAL SOLUTIONS, S.A. ",11
AS56082,AS56082 INTERNET-SOLUTION-HK,11
AS203706,AS203706 PE Livada Gennady Olexandrovich,11
AS11947,AS11947 Cablenett Limited,11
AS24060,AS24060 KTB COMPUTER SERVICES COMPANY LIMITED,11
AS198743,AS198743 Narodowe Centrum Badan Jadrowych,11
AS135345,AS135345 NewMountainView Satellite Corporation,11
AS26722,"AS26722 Main Sequence Technology, Inc. ",11
AS204825,AS204825 USACOV MAXIM,11
AS51670,AS51670 Technical & Vocational Training Corporation,11
AS17932,AS17932 Japan Advanced Institute of Science and Technology,11
AS17085,AS17085 SATELLITE TRACKING OF PEOPLE,11
AS134316,AS134316 World Star Communication,11
AS136463,AS136463 WheroNet Limited,11
AS31966,AS31966 CSAA Insurance Exchange,11
AS5535,AS5535 Food And Agriculture Organization of the United Nations,11
AS262664,AS262664 GIGALINE INTERNET SERVICOS DE INFORMATICA LTDA,11
AS7050,AS7050 University of Wisconsin - Milwaukee,11
AS52281,"AS52281 Patriacell, C.A. ",11
AS39381,AS39381 Services Industriels de Geneve,11
AS62447,AS62447 HighTech Media Club Ltd.,11
AS200033,AS200033 Megalan EOOD,11
AS50859,AS50859 TatAisEnergo LLC,11
AS59353,AS59353 Spark Systems Ltd.,11
AS44857,AS44857 JSC Vyksa Steel Works,11
AS55084,AS55084 DuBois Regional Medical Center,11
AS198293,"AS198293 Private Company Center for Development Information Technology ""Gigabyte"" ",11
AS197278,AS197278 FOP Getman Valentyn Borysovych,11
AS201508,AS201508 Pure Broadband Ltd,11
AS13381,AS13381 CMET SACI,11
AS2037,AS2037 California State University at Fresno,11
AS210053,AS210053 R5 LLC,11
AS203177,AS203177 BCS Global Networks Limited,11
AS209197,AS209197 Sadeem Cloud for Information Technology LLC,11
AS32040,AS32040 Trenton Telephone Company,11
AS57349,AS57349 DEPS INVEST LLC,11
AS196997,AS196997 Uni-tel A/S,11
AS60119,AS60119 Novosibirsk Telecommunication Company Ltd.,11
AS45846,AS45846 Shiga area POP AS Number,11
AS199433,AS199433 Koncar-Elektronika i informatika d.d.,11
AS204970,AS204970 Manor AG,11
AS22699,AS22699 First Data Conosur S.A.,11
AS2198,AS2198 Renater,11
AS20619,"AS20619 Alanit, Ltd. ",11
AS202842,AS202842 SC HIGH-TECH SYSTEM&SOFTWARE SRL,11
AS205205,AS205205 Badawi information systems Ltd,11
AS26144,"AS26144 Fiserv Solutions, Inc. ",11
AS39745,AS39745 Indaco Systems SRL,11
AS205236,AS205236 ISP Gipercom LLC,11
AS60799,AS60799 Baader Bank AG,11
AS60241,AS60241 High-Speed Universal Broadband Services C.I.C.,11
AS197070,AS197070 MTS PJSC,11
AS203271,AS203271 BNTPRO BILGI VE ILETISIM HIZMETLERI LIMITED SIRKETI,11
AS18025,AS18025 Bhutan Telecom Ltd,11
AS29304,AS29304 JSC SATIS-TL-94,11
AS57645,AS57645 OOO LICARD,11
AS133811,"AS133811 PT Inti Bangun Sejahtera, tbk ",11
AS47871,AS47871 Newsquest Media Group Ltd,11
AS262475,"AS262475 TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERV. E TEC. S/A ",11
AS208800,AS208800 G42 CLOUD TECHNOLOGY L.L.C.,11
AS49373,AS49373 JSC Universal Card Technologies,11
AS20337,AS20337 SUNY Institute of Technology,11
AS57961,AS57961 Qendra Nderuniversitare e Sherbimeve dhe Rrjeti Telematik,11
AS52813,AS52813 Mosaico Telecom & Clinitec,11
AS38148,AS38148 QIANDRA INFORMATION TECHNOLOGY PT,11
AS42962,AS42962 Shijiazhuang XuDing Technology Company Ltd,11
AS41512,"AS41512 JSC ""NPO-Design"" ",11
AS14343,AS14343 i2 Technologies Inc.,11
AS56238,AS56238 PT. SURYAPUTRA ADIPRADANA,11
AS54522,AS54522 CIERANT CORPORATION,11
AS58058,AS58058 Adir Soft Advertising SRL,11
AS28048,AS28048 Internet Para Todos - Gobierno de La Rioja,11
AS47487,AS47487 Transgourmet Deutschland GmbH & Co. OHG,11
AS15917,AS15917 CSC Computer Sciences Ltd,11
AS43405,AS43405 LLC Digital Ventures,11
AS12561,AS12561 IX Networks B.V.,11
AS199092,AS199092 Cortex IT SA,11
AS262175,AS262175 Telefonica Global Technology S.A. Sucursal Argentina,11
AS47575,AS47575 Tbilisi State University,11
AS33645,AS33645 ODYSSEY RE HOLDINGS CORP,11
AS21799,AS21799 Metropolitan Water District of Southern California,11
AS35778,"AS35778 Mar-Kom S.C. Arkadiusz Czyzak, Wojciech Mrugalski ",11
AS33942,AS33942 IREN ENERGIA S.P.A,11
AS45983,AS45983 Seokyeong UNIV.,11
AS134403,AS134403 Quantum Foundation,11
AS31751,"AS31751 The Market Builder, Inc ",11
AS38915,AS38915 Gemeente Heerlen,11
AS27877,AS27877 Coop. Telefonica de Capitán Bermúdez,11
AS17960,AS17960 University of the Ryukyus,11
AS206864,AS206864 Acque S.p.A.,11
AS30193,AS30193 Los Angeles Unified School District,11
AS32255,AS32255 PPL Corporation,11
AS23521,"AS23521 Finastra Merchant Services, Inc. ",11
AS1204,"AS1204 State University of New York, Central ",11
AS28512,AS28512 Cablemas Telecomunicaciones SA de CV,11
AS197104,AS197104 Gentoo Group Limited,11
AS20484,AS20484 NetworksValley (Yalla Online),11
AS50333,AS50333 Z.U.H. ELEKTRON s.c.,11
AS58143,AS58143 MEDIABRIDGE UNITED LTD.,11
AS203098,AS203098 Teso LT UAB,11
AS14723,AS14723 ArcelorMittal Sistemas SA,11
AS53566,AS53566 The George Brown College of Applied Arts and Technology,11
AS38707,AS38707 LG Dacom,11
AS43188,"AS43188 V/A ""Lauksaimniecibas Datu Centrs"" ",11
AS36170,AS36170 Westmont College,11
AS30172,AS30172 Franklin American Mortgage Company,11
AS397074,AS397074 Marshalls,11
AS11157,AS11157 Electronic laboratory Services Pty Ltd,11
AS202681,AS202681 PriceRunner International AB,11
AS41950,AS41950 NETLOG COMPUTER SRL,11
AS30338,AS30338 CFI,11
AS262369,AS262369 ok virtual provedor de internet ltda,11
AS1647,AS1647 Interop Technologies,11
AS12979,AS12979 JSC Transinfoset,11
AS33844,AS33844 JSC Sberbank CIB,11
AS133278,AS133278 Dehradun Enet Solutions Private Ltd,11
AS197502,AS197502 WMC SYSTEMY INFORMATYCZNE SP. Z O.O.,11
AS262663,AS262663 METROFLEX TELECOMUNICACOES LTDA,11
AS395717,"AS395717 BLUEARCHIVE, INC ",11
AS267617,AS267617 GRUPO ARREBENTA TELECOM LTDA,11
AS10965,AS10965 MRNet,11
AS50652,AS50652 LLC New Service Company,11
AS61460,AS61460 NETLAND CHILE S.A.,11
AS30713,AS30713 York Region District School Board,11
AS33321,AS33321 Zayo Bandwidth,11
AS262411,AS262411 Force Telecom Ltda,11
AS13485,AS13485 Grand Canyon University,11
AS201153,AS201153 Wifibytes S.L.,11
AS30063,"AS30063 Data Foundry, Inc. ",11
AS57410,"AS57410 ZAO ""Mordovsky Bekon"" ",11
AS38764,AS38764 MARKAS BESAR KEPOLISIAN REPUBLIK INDONESIA,11
AS22472,AS22472 Florida Supreme Court,11
AS26915,AS26915 Werner Enterprises,11
AS36755,AS36755 Layton Construction,11
AS201648,AS201648 Plzensky kraj,11
AS200162,AS200162 ILOTH,11
AS54222,AS54222 City of Cedar Park,11
AS16706,"AS16706 NORTHEAST ORTHOPAEDIC CLINIC, LLP ",11
AS10221,AS10221 Multi-homed connections to multiple ISP's providing,11
AS54084,AS54084 REGION 14 EDUCATION SERVICE CENTER,11
AS210037,AS210037 Nelya Bunduk trading as Teleport.,11
AS266708,AS266708 BANCO MARIVA S.A.,11
AS60905,AS60905 EURO Strada SRL,11
AS54648,AS54648 California Broadband Services,11
AS38441,AS38441 Jericho Ltd.,11
AS39799,AS39799 MTS PJSC,11
AS11560,"AS11560 Sandwich Isles Communications, Inc ",11
AS202319,AS202319 Avaye Hamrahe Houshmande Hezardastan PJSC,11
AS43057,AS43057 DATO VARIABLE SL,11
AS198815,AS198815 Rikisutvarpid Ohf,11
AS18645,AS18645 UMHB,11
AS203296,AS203296 Kristillinen Media Oy,11
AS53621,AS53621 Rady Children's Hospital - San Diego,11
AS38680,AS38680 CMB,11
AS9874,AS9874 StarHub Ltd,11
AS29196,AS29196 Limited Liability Company INZHENERNYE SETI - TELEKOM,11
AS205229,AS205229 Rahnamoun Rayaneh Robat Karim Company (Ltd.),11
AS197633,AS197633 Metronet Iletisim Teknoloji A.S.,11
AS9124,"AS9124 Federal State Educational Institution of Higher Professional Education ""Russian State University of Immanuil Kant"" ",11
AS29661,AS29661 AGENCIA NOTARIAL DE CERTIFICACION S.L,11
AS19038,AS19038 SCOTIABANK INVERLAT SA,11
AS265890,AS265890 GR SOLUCOES TELECOM LTDA - ME,11
AS15191,"AS15191 Western Independent Networks, Inc. ",11
AS395569,AS395569 Konica Minolta Business Solutions (Canada) LTD,11
AS132220,AS132220 JPR Digital Pvt. Ltd.,11
AS199672,AS199672 Eidsiva Energi AS,11
AS395789,AS395789 City of Indianapolis,11
AS57181,AS57181 OOO RTK,11
