Rank,ASN,Name,Country,Online,Offline,Average Reaction Time
3954,AS51737,AS51737 SUPERLINK-AS,- PS,0,1,"1 month, 14 days, 8 hours, 22 minutes"
3955,AS33302,AS33302 ONS-COS,- US,0,6,"1 month, 14 days, 11 hours, 25 minutes"
3956,AS139457,AS139457 IDNIC-ANTMEDIAHOST-AS-ID PT Semut Da ... ,- ID,0,29,"1 month, 14 days, 11 hours, 35 minutes"
3957,AS134762,AS134762 CHINANET-LIAONING-DALIAN-MAN CHINANE ... ,- CN,0,25,"1 month, 14 days, 13 hours, 29 minutes"
3958,AS209,AS209 CENTURYLINK-US-LEGACY-QWEST,- US,0,19,"1 month, 14 days, 13 hours, 57 minutes"
3959,AS45328,"AS45328 NIPA-AS-TH NIPA TECHNOLOGY CO., LTD",- TH,0,8,"1 month, 14 days, 14 hours, 15 minutes"
3960,AS30855,AS30855 TELE-PLUS-AS,- RU,0,3,"1 month, 14 days, 16 hours, 33 minutes"
3961,AS53824,AS53824 LIQUIDWEB,- US,1,102,"1 month, 14 days, 18 hours, 15 minutes"
3962,AS47695,AS47695 OPONEO-NET-AS,- PL,0,1,"1 month, 14 days, 18 hours, 46 minutes"
3963,AS21699,AS21699 IO,- US,0,1,"1 month, 14 days, 19 hours, 25 minutes"
3964,AS12310,AS12310 INES Bucharest / ROMANIA,- RO,0,23,"1 month, 14 days, 19 hours, 26 minutes"
3965,AS5432,AS5432 PROXIMUS-ISP-AS,- BE,1,12,"1 month, 14 days, 19 hours, 41 minutes"
3966,AS266628,AS266628 CYBER LITORAL INFORMATICA LTDA - ME,- BR,0,1,"1 month, 14 days, 21 hours, 3 minutes"
3967,AS26101,AS26101 YAHOO-3,- US,0,13,"1 month, 14 days, 22 hours, 30 minutes"
3968,AS41018,AS41018 OMNILANCE http://omnilance.com,- UA,0,9,"1 month, 14 days, 23 hours, 42 minutes"
3969,AS18747,AS18747 IFX18747,- AR,12,55,"1 month, 14 days, 23 hours, 43 minutes"
3970,AS46867,AS46867 AUDEAM,- US,0,1,"1 month, 15 days, 5 hours, 39 minutes"
3971,AS9008,AS9008 ASN-VO Visual Online S.A. Luxembourg ... ,- LU,0,16,"1 month, 15 days, 8 hours, 26 minutes"
3972,AS31208,AS31208 MF-CENTER-AS,- RU,0,1,"1 month, 15 days, 13 hours, 17 minutes"
3973,AS28652,AS28652 Telecomunicacoes Nordeste Ltda.,- BR,0,1,"1 month, 15 days, 13 hours, 37 minutes"
3974,AS27823,AS27823 Dattatec.com,- AR,34,59,"1 month, 15 days, 17 hours, 11 minutes"
3975,AS1257,AS1257 TELE2,- SE,0,20,"1 month, 15 days, 19 hours, 34 minutes"
3976,AS18059,AS18059 DTPNET-AS-AP DTPNET NAP,- ID,0,18,"1 month, 15 days, 20 hours, 48 minutes"
3977,AS133973,AS133973 NETCONNECTWIFI-AS Net Connect Wifi P ... ,- IN,0,1,"1 month, 15 days, 21 hours, 1 minutes"
3978,AS37168,AS37168 CELL-C,- ZA,0,6,"1 month, 15 days, 21 hours, 56 minutes"
3979,AS131781,AS131781 IDNIC-UINMALANG-AS-ID Universitas Is ... ,- ID,0,30,"1 month, 16 days, 0 hours, 2 minutes"
3980,AS14259,AS14259 Gtd Internet S.A.,- CL,5,51,"1 month, 16 days, 0 hours, 12 minutes"
3981,AS6503,"AS6503 Axtel, S.A.B. de C.V.",- MX,4,4,"1 month, 16 days, 1 hours, 55 minutes"
3982,AS41044,AS41044 THYA-AS,- FR,0,17,"1 month, 16 days, 2 hours, 51 minutes"
3983,AS136523,AS136523 COLODEE-AS-AP COLODEE DIGITAL NETWOR ... ,- TH,1,17,"1 month, 16 days, 3 hours, 59 minutes"
3984,AS34093,AS34093 PLUSLINE-AS,- CZ,0,1,"1 month, 16 days, 7 hours, 0 minutes"
3985,AS21479,AS21479 ROSTOV-TELEGRAF-AS,- RU,1,2,"1 month, 16 days, 7 hours, 48 minutes"
3986,AS9988,AS9988 MPT-AP Myanma Posts and Telecommunic ... ,- MM,0,1,"1 month, 16 days, 11 hours, 28 minutes"
3987,AS50710,AS50710 EARTHLINK-AS,- IQ,0,1,"1 month, 16 days, 11 hours, 36 minutes"
3988,AS11081,AS11081 United Telecommunication Services (U ... ,- CW,1,3,"1 month, 16 days, 16 hours, 33 minutes"
3989,AS37963,AS37963 CNNIC-ALIBABA-CN-NET-AP Hangzhou Ali ... ,- CN,91,879,"1 month, 16 days, 20 hours, 13 minutes"
3990,AS60203,AS60203 INNOVASUR-AS,- ES,0,2,"1 month, 16 days, 21 hours, 45 minutes"
3991,AS267121,AS267121 ATPlus Telecom,- BR,0,1,"1 month, 16 days, 22 hours, 30 minutes"
3992,AS6830,AS6830 LIBERTYGLOBAL Liberty Global (former ... ,- PL,12,69,"1 month, 17 days, 4 hours, 23 minutes"
3993,AS136557,AS136557 HOST-AS-AP Host Universal Pty Ltd,- AU,1,20,"1 month, 17 days, 5 hours, 5 minutes"
3994,AS49800,AS49800 GNC-ALFA GNC Alfa CJSC (Rostelecom A ... ,- AM,0,1,"1 month, 17 days, 7 hours, 41 minutes"
3995,AS21980,"AS21980 Dayco Telecom, C.A.",- VE,0,1,"1 month, 17 days, 8 hours, 22 minutes"
3996,AS12083,AS12083 WOW-INTERNET,- US,4,14,"1 month, 17 days, 9 hours, 17 minutes"
3997,AS201469,AS201469 VINKU-AS,- RU,0,1,"1 month, 17 days, 10 hours, 10 minutes"
3998,AS132779,AS132779 RACKBANK-AS RackBank Datacenters Pri ... ,- IN,0,5,"1 month, 17 days, 10 hours, 32 minutes"
3999,AS134058,AS134058 BROBAN-AS BROBAN INTERNET SERVICES P ... ,- IN,0,1,"1 month, 17 days, 11 hours, 15 minutes"
4000,AS12976,AS12976 AS-CITICTEL-CPC-RUS,- RU,0,2,"1 month, 17 days, 13 hours, 39 minutes"
4001,AS12357,AS12357 COMUNITEL SPAIN,- ES,0,20,"1 month, 17 days, 14 hours, 57 minutes"
4002,AS42560,AS42560 BA-TELEMACH-AS Telemach d.o.o. Saraj ... ,- BA,0,4,"1 month, 17 days, 16 hours, 24 minutes"
4003,AS51836,AS51836 ASNEMIYA,- RU,0,1,"1 month, 17 days, 19 hours, 11 minutes"
4004,AS10175,AS10175 HCNKUMHO-AS-KR Kumho Cable,- KR,1,8,"1 month, 17 days, 19 hours, 17 minutes"
4005,AS13193,AS13193 ASN-NERIM,- FR,0,10,"1 month, 17 days, 19 hours, 56 minutes"
4006,AS34989,AS34989 SERVETHEWORLD-AS,- NO,0,21,"1 month, 17 days, 20 hours, 59 minutes"
4007,AS49242,AS49242 INTERNETUNION1,- PL,0,1,"1 month, 18 days, 1 hours, 24 minutes"
4008,AS29518,AS29518 BREDBAND2,- SE,0,21,"1 month, 18 days, 1 hours, 52 minutes"
4009,AS49147,AS49147 ASNET-AS,- BG,0,1,"1 month, 18 days, 2 hours, 1 minutes"
4010,AS30722,AS30722 VODAFONE-IT-ASN,- IT,5,59,"1 month, 18 days, 2 hours, 58 minutes"
4011,AS136052,AS136052 IDNIC-IDCLOUDHOST-AS-ID PT Cloud Hos ... ,- ID,0,16,"1 month, 18 days, 3 hours, 13 minutes"
4012,AS262662,AS262662 Conexao Networks Provedor de Interne ... ,- BR,0,1,"1 month, 18 days, 4 hours, 57 minutes"
4013,AS6128,AS6128 CABLE-NET-1,- US,13,47,"1 month, 18 days, 11 hours, 41 minutes"
4014,AS21574,AS21574 Century Telecom Ltda,- BR,0,1,"1 month, 18 days, 12 hours, 13 minutes"
4015,AS55017,AS55017 VDC,- CA,0,10,"1 month, 18 days, 14 hours, 27 minutes"
4016,AS43424,AS43424 MAGICRETAIL,- FR,0,1,"1 month, 18 days, 15 hours, 21 minutes"
4017,AS34087,"AS34087 NTE-BREDBAND NIX 1, Oslo, Norway",- NO,3,10,"1 month, 18 days, 18 hours, 34 minutes"
4018,AS8068,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK,- US,596,1'172,"1 month, 18 days, 21 hours, 19 minutes"
4019,AS48739,AS48739 IRNET-AS LTD SPUTNIK,- RU,0,1,"1 month, 18 days, 22 hours, 13 minutes"
4020,AS2116,AS2116 ASN-CATCHCOM,- NO,9,23,"1 month, 18 days, 22 hours, 34 minutes"
4021,AS49570,AS49570 DELTA-X-AS,- UA,0,7,"1 month, 18 days, 22 hours, 54 minutes"
4022,AS12722,AS12722 RECONN,- RU,0,15,"1 month, 18 days, 23 hours, 44 minutes"
4023,AS5610,AS5610 O2-CZECH-REPUBLIC,- CZ,2,4,"1 month, 19 days, 4 hours, 8 minutes"
4024,AS36236,AS36236 NETACTUATE,- US,7,17,"1 month, 19 days, 4 hours, 46 minutes"
4025,AS51158,AS51158 MTREND-AS,- RU,0,3,"1 month, 19 days, 9 hours, 55 minutes"
4026,AS17621,AS17621 CNCGROUP-SH China Unicom Shanghai ne ... ,- CN,12,9,"1 month, 19 days, 12 hours, 32 minutes"
4027,AS201928,AS201928 ASNETIYI,- TR,0,18,"1 month, 19 days, 17 hours, 40 minutes"
4028,AS42724,AS42724 TALIDO,- TR,0,24,"1 month, 19 days, 17 hours, 59 minutes"
4029,AS3249,AS3249 ESTPAK,- EE,0,6,"1 month, 19 days, 18 hours, 13 minutes"
4030,AS132701,AS132701 URU-AS Uttaradit Rajabhat University ... ,- TH,0,6,"1 month, 19 days, 19 hours, 36 minutes"
4031,AS264177,AS264177 NETTCON PROVEDOR DE INTERNET EIRELI ... ,- BR,0,1,"1 month, 19 days, 20 hours, 3 minutes"
4032,AS55720,AS55720 GIGABIT-MY Gigabit Hosting Sdn Bhd,- MY,3,64,"1 month, 19 days, 21 hours, 13 minutes"
4033,AS17090,AS17090 DATABASEBYDESIGNLLC,- US,0,39,"1 month, 19 days, 21 hours, 46 minutes"
4034,AS12714,"AS12714 TI-AS Moscow, Russia",- RU,0,28,"1 month, 20 days, 0 hours, 7 minutes"
4035,AS48823,AS48823 AS48823,- DE,0,2,"1 month, 20 days, 2 hours, 15 minutes"
4036,AS1680,AS1680 NV-ASN CELLCOM ltd.,- IL,10,43,"1 month, 20 days, 6 hours, 11 minutes"
4037,AS20446,AS20446 HIGHWINDS3,- US,0,18,"1 month, 20 days, 9 hours, 12 minutes"
4038,AS12322,AS12322 PROXAD,- FR,5,76,"1 month, 20 days, 11 hours, 12 minutes"
4039,AS35807,AS35807 SKYNET-SPB-AS,- RU,1,9,"1 month, 20 days, 12 hours, 16 minutes"
4040,AS42468,AS42468 MIZ,- IR,0,4,"1 month, 20 days, 13 hours, 32 minutes"
4041,AS9694,AS9694 SEOKYUNG-CATV-AS-KR Seokyung Cable T ... ,- KR,3,3,"1 month, 20 days, 15 hours, 45 minutes"
4042,AS31205,AS31205 MF-SIB-AS,- RU,0,1,"1 month, 20 days, 19 hours, 28 minutes"
4043,AS35573,AS35573 AVCOM-AS,- RS,0,2,"1 month, 20 days, 22 hours, 49 minutes"
4044,AS20161,AS20161 TRGO,- CA,0,20,"1 month, 20 days, 23 hours, 40 minutes"
4045,AS133380,AS133380 LAYER-AS Layerstack Limited,- HK,0,3,"1 month, 21 days, 4 hours, 20 minutes"
4046,AS11351,AS11351 TWC-11351-NORTHEAST,- US,2,24,"1 month, 21 days, 5 hours, 42 minutes"
4047,AS138611,AS138611 CSTLC-AS-AP Cloud Speed Technology L ... ,- TW,0,2,"1 month, 21 days, 6 hours, 15 minutes"
4048,AS8273,AS8273 DK-STOFANET-AS,- DK,0,6,"1 month, 21 days, 8 hours, 39 minutes"
4049,AS37090,AS37090 ISOCEL,- BJ,0,1,"1 month, 21 days, 15 hours, 8 minutes"
4050,AS10098,AS10098 HENDERSON-HK Towngas Telecommunicati ... ,- HK,0,6,"1 month, 21 days, 15 hours, 12 minutes"
4051,AS13984,AS13984 SD-DATA-CENTER,- US,1,10,"1 month, 21 days, 15 hours, 40 minutes"
4052,AS42708,AS42708 PORTLANE www.portlane.com,- SE,0,46,"1 month, 21 days, 18 hours, 13 minutes"
4053,AS28624,AS28624 PROVEDORA CMA INTERNET LTDA,- BR,0,1,"1 month, 21 days, 21 hours, 40 minutes"
4054,AS51696,AS51696 ANTAGONIST-AS,- NL,2,191,"1 month, 22 days, 0 hours, 20 minutes"
4055,AS36666,AS36666 GTCOMM,- CA,1,38,"1 month, 22 days, 0 hours, 36 minutes"
4056,AS19037,AS19037 AMX Argentina S.A.,- AR,0,1,"1 month, 22 days, 8 hours, 27 minutes"
4057,AS7922,AS7922 COMCAST-7922,- US,46,253,"1 month, 22 days, 8 hours, 34 minutes"
4058,AS50304,AS50304 BLIX,- NO,1,11,"1 month, 22 days, 10 hours, 13 minutes"
4059,AS204343,AS204343 COMPUBYTE-AS,- RU,0,4,"1 month, 22 days, 11 hours, 14 minutes"
4060,AS18207,AS18207 YOU-INDIA-AP YOU Broadband & Cable I ... ,- IN,0,14,"1 month, 22 days, 12 hours, 13 minutes"
4061,AS19108,AS19108 SUDDENLINK-COMMUNICATIONS,- US,11,13,"1 month, 22 days, 13 hours, 25 minutes"
4062,AS2561,AS2561 EUN,- EG,0,9,"1 month, 22 days, 14 hours, 43 minutes"
4063,AS9198,AS9198 KAZTELECOM-AS,- KZ,0,39,"1 month, 22 days, 16 hours, 32 minutes"
4064,AS10569,AS10569 Red CENIAInternet,- CU,0,2,"1 month, 22 days, 19 hours, 39 minutes"
4065,AS43595,AS43595 UGRESHA-NET-AS,- RU,0,1,"1 month, 22 days, 21 hours, 18 minutes"
4066,AS4755,AS4755 TATACOMM-AS TATA Communications form ... ,- IN,1,12,"1 month, 22 days, 22 hours, 31 minutes"
4067,AS8452,AS8452 TE-AS TE-AS,- EG,6,101,"1 month, 23 days, 0 hours, 47 minutes"
4068,AS20545,"AS20545 GRENA-AS Tbilisi, Georgia",- GE,0,23,"1 month, 23 days, 1 hours, 9 minutes"
4069,AS4739,AS4739 INTERNODE-AS Internode Pty Ltd,- AU,0,43,"1 month, 23 days, 1 hours, 28 minutes"
4070,AS201069,AS201069 APEX-ISP-AS,- UA,0,4,"1 month, 23 days, 2 hours, 51 minutes"
4071,AS131414,AS131414 LVSOFT-AS-VN Long Van Soft Solution ... ,- VN,0,47,"1 month, 23 days, 3 hours, 2 minutes"
4072,AS262308,AS262308 NEXUS Informatica Servicos de Intern ... ,- BR,0,1,"1 month, 23 days, 5 hours, 44 minutes"
4073,AS24973,AS24973 KOMPLEX-AS Ruhrorter Str. 100,- DE,0,4,"1 month, 23 days, 6 hours, 22 minutes"
4074,AS262170,AS262170 Visualhosting.net,- AR,0,8,"1 month, 23 days, 9 hours, 8 minutes"
4075,AS43478,AS43478 ERTH-NSK-AS,- RU,0,1,"1 month, 23 days, 11 hours, 31 minutes"
4076,AS26914,AS26914 SYNOPTEK,- US,0,4,"1 month, 23 days, 13 hours, 24 minutes"
4077,AS207125,AS207125 DGPCO,- IR,0,11,"1 month, 23 days, 14 hours, 36 minutes"
4078,AS131627,AS131627 PEICITY-AS-TW Peicity Digital Cable ... ,- TW,0,2,"1 month, 23 days, 14 hours, 57 minutes"
4079,AS29226,"AS29226 MASTERTEL-AS Moscow, Russia",- RU,0,2,"1 month, 23 days, 16 hours, 23 minutes"
4080,AS10013,"AS10013 FBDC FreeBit Co.,Ltd.",- JP,3,17,"1 month, 23 days, 18 hours, 25 minutes"
4081,AS12874,AS12874 FASTWEB,- IT,7,55,"1 month, 23 days, 20 hours, 33 minutes"
4082,AS7690,AS7690 MIRAI Mirai Communication Network In ... ,- JP,0,1,"1 month, 23 days, 21 hours, 43 minutes"
4083,AS28408,"AS28408 Gdlicanet, S.A. de C.V.",- MX,0,3,"1 month, 23 days, 21 hours, 47 minutes"
4084,AS43139,AS43139 MAXIMUMA-AS,- UA,0,40,"1 month, 23 days, 21 hours, 51 minutes"
4085,AS63930,AS63930 READYSERVER-SG READY SERVER PTE LTD,- SG,1,12,"1 month, 23 days, 23 hours, 12 minutes"
4086,AS38525,"AS38525 NETSOFT-AS-ID Netsoft, PT",- ID,0,1,"1 month, 23 days, 23 hours, 29 minutes"
4087,AS262773,AS262773 OndaNet Ltda,- BR,0,1,"1 month, 24 days, 2 hours, 16 minutes"
4088,AS54825,AS54825 PACKET,- NL,0,37,"1 month, 24 days, 2 hours, 40 minutes"
4089,AS4826,AS4826 VOCUS-BACKBONE-AS Vocus Connect Inte ... ,- AU,1,9,"1 month, 24 days, 3 hours, 24 minutes"
4090,AS23535,AS23535 HOSTROCKET,- US,0,64,"1 month, 24 days, 6 hours, 54 minutes"
4091,AS8163,AS8163 Metrotel SA ESP,- CO,0,1,"1 month, 24 days, 8 hours, 6 minutes"
4092,AS26337,AS26337 OIS1,- US,0,20,"1 month, 24 days, 16 hours, 53 minutes"
4093,AS35000,AS35000 PROMETEY PROMETEY LLC,- RU,0,1,"1 month, 24 days, 17 hours, 1 minutes"
4094,AS49364,AS49364 SERVGE-AS Data center and Hosting Pr ... ,- GE,0,50,"1 month, 24 days, 19 hours, 29 minutes"
4095,AS6798,AS6798 NET4YOU-AS,- AT,0,1,"1 month, 24 days, 22 hours, 57 minutes"
4096,AS26546,AS26546 NUCLEUS-INC,- CA,0,1,"1 month, 24 days, 23 hours, 29 minutes"
4097,AS43541,AS43541 VSHOSTING,- CZ,0,56,"1 month, 24 days, 23 hours, 38 minutes"
4098,AS204213,AS204213 NETMIHAN,- IR,30,107,"1 month, 25 days, 4 hours, 33 minutes"
4099,AS51088,AS51088 A2B,- NL,1,14,"1 month, 25 days, 14 hours, 59 minutes"
4100,AS19653,AS19653 CTSTELECOM,- US,0,2,"1 month, 25 days, 18 hours, 31 minutes"
4101,AS13124,AS13124 IBGC,- BG,0,19,"1 month, 25 days, 22 hours, 45 minutes"
4102,AS16591,AS16591 GOOGLE-FIBER,- US,0,5,"1 month, 25 days, 22 hours, 47 minutes"
4103,AS3786,AS3786 LGDACOM LG DACOM Corporation,- KR,5,205,"1 month, 25 days, 23 hours, 27 minutes"
4104,AS50584,AS50584 DOMINET,- PL,0,3,"1 month, 26 days, 2 hours, 50 minutes"
4105,AS34010,AS34010 YAHOO-IRD,- GB,0,2,"1 month, 26 days, 7 hours, 19 minutes"
4106,AS133776,AS133776 CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Qu ... ,- CN,1,10,"1 month, 26 days, 8 hours, 12 minutes"
4107,AS201776,AS201776 MIRANDA-AS,- RU,1,1,"1 month, 26 days, 8 hours, 27 minutes"
4108,AS20018,AS20018 MVT-AS,- US,0,1,"1 month, 26 days, 11 hours, 43 minutes"
4109,AS21305,AS21305 IPTEL-AS,- BY,0,3,"1 month, 26 days, 14 hours, 24 minutes"
4110,AS29468,AS29468 INFRACOM,- SE,0,2,"1 month, 27 days, 0 hours, 32 minutes"
4111,AS1239,AS1239 SPRINTLINK,- US,0,13,"1 month, 27 days, 2 hours, 46 minutes"
4112,AS8953,AS8953 ASN-ORANGE-ROMANIA,- RO,3,2,"1 month, 27 days, 5 hours, 15 minutes"
4113,AS136188,AS136188 CHINATELECOM-ZHEJIANG-NINGBO-IDC NIN ... ,- CN,2,15,"1 month, 27 days, 5 hours, 39 minutes"
4114,AS196735,AS196735 AS-JONCZ jakub@jon.cz,- CZ,0,1,"1 month, 27 days, 6 hours, 14 minutes"
4115,AS17622,AS17622 CNCGROUP-GZ China Unicom Guangzhou n ... ,- CN,0,15,"1 month, 27 days, 6 hours, 26 minutes"
4116,AS4694,AS4694 IDCF IDC Frontier Inc.,- JP,0,11,"1 month, 27 days, 12 hours, 8 minutes"
4117,AS23201,AS23201 Telecel S.A.,- PY,1,12,"1 month, 27 days, 20 hours, 56 minutes"
4118,AS2547,AS2547 BMENET-AS Budapest University of Tec ... ,- HU,0,2,"1 month, 27 days, 21 hours, 38 minutes"
4119,AS17857,AS17857 NAKDONGDIGITALBUSANNET-AS-KR T Broad ... ,- KR,1,1,"1 month, 27 days, 21 hours, 38 minutes"
4120,AS63989,AS63989 DE-CORP DE-CORP,- TH,2,30,"1 month, 27 days, 22 hours, 7 minutes"
4121,AS8732,AS8732 COMCOR-AS Moscow,- RU,0,10,"1 month, 28 days, 0 hours, 22 minutes"
4122,AS24863,AS24863 LINKdotNET-AS,- EG,0,4,"1 month, 28 days, 0 hours, 40 minutes"
4123,AS12581,AS12581 TOPSNET,- DE,0,4,"1 month, 28 days, 2 hours, 38 minutes"
4124,AS48642,"AS48642 KTEL-AS Ekaterinburg, Russia",- RU,0,1,"1 month, 28 days, 2 hours, 59 minutes"
4125,AS45996,AS45996 GNJ-AS-KR DAOU TECHNOLOGY,- KR,1,31,"1 month, 28 days, 5 hours, 36 minutes"
4126,AS134765,AS134765 CHINANET-YUNNAN-IDC1 CHINANET Yunnan ... ,- CN,4,4,"1 month, 28 days, 6 hours, 34 minutes"
4127,AS16342,AS16342 TOYA TOYA Sp. z o.o.,- PL,0,1,"1 month, 28 days, 7 hours, 31 minutes"
4128,AS45458,AS45458 SBN-AWN-AS-02-AP SBN-ISP/AWN-ISP and ... ,- TH,0,8,"1 month, 28 days, 9 hours, 26 minutes"
