asn_name,avg_response_time_seconds,domains_hosted,count
AS17488 Hathway IP Over Cable Internet,17640,813,78332
AS4837 CHINA UNICOM China169 Backbone,285420,390670,16312
AS4134 Chinanet,1156860,839523,10001
AS14061 DIGITALOCEAN-ASN,430560,2672405,5870
AS132525 HeiLongJiang Mobile Communication Company Limited,111480,715,5074
AS17813 Mahanagar Telephone Nigam Limited,29940,228,4685
AS30962 comtrance GmbH,19140,39012,4006
AS213371 Squitter Networks,598560,142,2581
AS42864 Giganet Internet Szolgaltato Kft,853440,3598,2508
AS24961 myLoc managed IT AG,519300,181548,2501
AS36352 AS-COLOCROSSING,1085700,205704,2291
AS21928 T-MOBILE-AS21928,762540,280,2209
AS54290 HOSTWINDS,740460,76462,2002
AS16276 OVH SAS,966840,7782065,1885
AS35805 JSC Silknet,513840,412,1531
AS26727 BBTEL,91260,196,1360
AS19465 AS-GOSFIELD,77700,30,1274
AS9829 National Internet Backbone,54240,2901,1267
AS4766 Korea Telecom,2895180,551713,1141
AS56041 China Mobile communications corporation,169560,13100,1098
AS206898 Server Hosting Pty Ltd,2398560,25,1043
AS135031 RI Networks Pvt. Ltd.,32280,20,1008
AS20473 AS-CHOOPA,285600,912539,954
AS53667 PONYNET,1504860,531015,931
AS17816 China Unicom IP network China169 Guangdong province,890580,22214,802
AS9808 Guangdong Mobile Communication Co.Ltd.,1044600,60793,777
AS19429 Colombia,206580,1886,741
AS17465 Cable ISP in India,72900,732,700
AS62904 EONIX-COMMUNICATIONS-ASBLOCK-62904,650640,133758,620
AS23969 TOT Public Company Limited,372060,1352,616
AS3462 Data Communication Business Group,716940,126148,566
AS58054 TV-NET LLC,2113440,4,558
AS200019 Alexhost Srl,677580,2836,489
AS48090 Pptechnology Limited,568980,55,421
AS9318 SK Broadband Co Ltd,6089820,278773,417
AS213035 Des Capital B.V.,708600,576,410
AS44685 Patron Technology Persia Ltd,1678200,206,407
AS62068 SpectraIP B.V.,387960,1917,333
AS53850 GORILLASERVERS,246960,24675,331
AS51167 Contabo GmbH,846900,647466,324
AS51659 LLC Baxet,777240,13039,321
AS15640 MTS PJSC,40440,74,305
AS50673 Serverius Holding B.V.,950400,119691,289
AS24940 Hetzner Online GmbH,821640,4676339,265
AS40676 AS40676,1287900,1148236,262
AS12876 Online S.a.s.,1762200,439066,259
"AS49349 Dotsi, Unipessoal Lda.",1042560,6604,252
